id,predict_date,stock_name,target_value,expert_name,source_name,memo,현재가,달성률(%)
1,2026-02-02,KOSPI,7500,박태종,JP Morgan,강세장 예측,5522.27,73.63
2,2026-01-28,삼성전자,120000,김동원,KB증권,12만전자설,0.0,0.0
